page,text,font_name,font_size,style,color_rgb,color_hex,bbox
1,1 ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(309.9599914550781, 766.6439819335938, 318.9599914550781, 779.927978515625)"
1,Saramati Post Graduate Men’s Hostel ,Verdana,24.0,regular,"(0, 127, 0)",#007F00,"(88.10399627685547, 85.82000732421875, 546.47802734375, 114.90800476074219)"
1,HANDBOOK OF INFORMATION ,"Verdana,Bold",12.0,bold,"(0, 51, 100)",#003364,"(230.5, 132.47003173828125, 438.91400146484375, 147.01402282714844)"
1,(2022-23) ,"Verdana,Bold",17.04,bold,"(0, 0, 255)",#0000FF,"(236.25999450683594, 169.8848114013672, 341.2276611328125, 190.53729248046875)"
1,             UDSC ,Arial,12.0,regular,"(0, 0, 127)",#00007F,"(232.89999389648438, 571.0700073242188, 313.5360107421875, 584.4500122070312)"
1,UNIVERSITY OF DELHI SOUTH CAMPUS ,"Verdana,Bold",11.04,bold,"(50, 51, 153)",#323399,"(191.35000610351562, 612.8347778320312, 438.3456726074219, 626.2152709960938)"
1,"BENITO JUAREZ ROAD, NEW DELHI – 110021 ","Verdana,Bold",11.04,bold,"(50, 51, 153)",#323399,"(172.8699951171875, 626.2947998046875, 457.065673828125, 639.67529296875)"
2,2 ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(309.9599914550781, 766.6439819335938, 318.9599914550781, 779.927978515625)"
2,Provost ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(70.8239974975586, 57.00801086425781, 113.20999908447266, 70.2920150756836)"
2,Prof. Y.P. Khasa ,"Times New Roman,Bold",11.52,bold,"(0, 0, 0)",#000000,"(70.8239974975586, 77.11568450927734, 156.52999877929688, 89.86832427978516)"
2,Department of Microbiology,"Times New Roman,Bold",10.56,bold,"(0, 0, 0)",#000000,"(70.8239974975586, 90.2110366821289, 199.27577209472656, 101.90095520019531)"
2,University of Delhi South Campus ,Times New Roman,12.48,regular,"(0, 0, 0)",#000000,"(70.8239974975586, 102.18030548095703, 247.5399932861328, 115.99566650390625)"
2,New Delhi - 110021 ,Times New Roman,12.48,regular,"(0, 0, 0)",#000000,"(70.8239974975586, 116.37030792236328, 176.47000122070312, 130.1856689453125)"
2,Warden ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(70.8239974975586, 159.5180206298828, 115.8499984741211, 172.80201721191406)"
2,Dr. Chander Mohan Negi ,"Times New Roman,Bold",11.52,bold,"(0, 0, 0)",#000000,"(70.8239974975586, 180.10568237304688, 199.510009765625, 192.8583221435547)"
2,Department of  Business Economics ,"Times New Roman,Bold",11.52,bold,"(0, 0, 0)",#000000,"(70.8239974975586, 193.06570434570312, 249.4600067138672, 205.81834411621094)"
2,University of Delhi South Campus ,Times New Roman,12.48,regular,"(0, 0, 0)",#000000,"(70.8239974975586, 205.9103546142578, 247.5399932861328, 219.7257080078125)"
2,New Delhi-110021 ,Times New Roman,12.48,regular,"(0, 0, 0)",#000000,"(70.8239974975586, 220.31031799316406, 170.22999572753906, 234.12567138671875)"
2,Resident Tutor ,"Times New Roman,Bold",12.48,bold,"(0, 0, 0)",#000000,"(70.8239974975586, 248.8703155517578, 154.84999084472656, 262.6856689453125)"
2,Dr. A. Zothansanga ,"Times New Roman,Bold",11.52,bold,"(0, 0, 0)",#000000,"(70.8239974975586, 267.2456970214844, 170.95001220703125, 279.9983215332031)"
2,Department of Mathematics ,"Times New Roman,Bold",11.52,bold,"(0, 0, 0)",#000000,"(70.8239974975586, 280.4756774902344, 212.23001098632812, 293.2283020019531)"
2,University of Delhi South Campus  ,Times New Roman,12.48,regular,"(0, 0, 0)",#000000,"(70.8239974975586, 293.3003234863281, 250.6599884033203, 307.1156921386719)"
2,New Delhi – 110021 ,Times New Roman,12.48,regular,"(0, 0, 0)",#000000,"(70.8239974975586, 307.4602966308594, 178.38999938964844, 321.2756652832031)"
2,Office ,"Times New Roman,Bold",13.92,bold,"(0, 0, 0)",#000000,"(70.8239974975586, 350.8172912597656, 110.81000518798828, 366.2267150878906)"
2,"Tel. Office: 24112284 ext. 7257,  ","Times New Roman,Bold",13.92,bold,"(0, 0, 0)",#000000,"(70.8239974975586, 367.6372985839844, 264.94000244140625, 383.0467224121094)"
2,E-mail: saramati@south.du.ac.in ,"Times New Roman,Bold",19.92,bold,"(0, 0, 0)",#000000,"(70.8239974975586, 384.37127685546875, 358.8600158691406, 406.4227294921875)"
2,Office Hours: 9:30 A.M. to 5:30 P.M. ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(70.8239974975586, 419.9880065917969, 263.739990234375, 433.2720031738281)"
2,*To be used in case of emergency only. ,Times New Roman,12.0,regular,"(0, 0, 0)",#000000,"(70.8239974975586, 458.64801025390625, 264.4599914550781, 471.9320068359375)"
3,3 ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(309.9599914550781, 766.6439819335938, 318.9599914550781, 779.927978515625)"
3,Contents ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(70.8239974975586, 57.00801086425781, 119.93000030517578, 70.2920150756836)"
3,1.0. ,Times New Roman,12.0,regular,"(0, 0, 0)",#000000,"(70.8239974975586, 83.88801574707031, 91.8239974975586, 97.1720199584961)"
3,About the Hostel ,Times New Roman,12.0,regular,"(0, 0, 0)",#000000,"(116.93000030517578, 83.88801574707031, 202.02999877929688, 97.1720199584961)"
3,4 ,Times New Roman,12.0,regular,"(0, 0, 0)",#000000,"(389.17999267578125, 83.88801574707031, 398.17999267578125, 97.1720199584961)"
3,2.0. ,Times New Roman,12.0,regular,"(0, 0, 0)",#000000,"(70.8239974975586, 108.84797668457031, 91.8239974975586, 122.1319808959961)"
3,Admission to the Hostel ,Times New Roman,12.0,regular,"(0, 0, 0)",#000000,"(116.93000030517578, 108.84797668457031, 236.3800048828125, 122.1319808959961)"
3,4 ,Times New Roman,12.0,regular,"(0, 0, 0)",#000000,"(388.2200012207031, 108.84797668457031, 397.2200012207031, 122.1319808959961)"
3,3.0. ,Times New Roman,12.0,regular,"(0, 0, 0)",#000000,"(70.8239974975586, 134.07801818847656, 91.8239974975586, 147.3620147705078)"
