page,text,font_name,font_size,style,color_rgb,color_hex,bbox
1,1,Calibri,11.04,regular,"(0, 0, 0)",#000000,"(517.9000244140625, 757.3199462890625, 525.9150390625, 768.3599853515625)"
1,Aravali Post Graduate ,Impact,48,regular,"(0, 128, 0)",#008000,"(87.02400207519531, 63.78797149658203, 516.7479858398438, 117.5959701538086)"
1,Men’s Hostel,Impact,40.37,regular,"(0, 128, 0)",#008000,"(209.3300018310547, 122.34796905517578, 385.8092041015625, 176.15597534179688)"
1,Handbook of Information 2018-19 ,"Verdana Bold,Bold",24.58,bold,"(0, 51, 102)",#003366,"(72.02400207519531, 186.960205078125, 490.8490905761719, 220.84771728515625)"
2,2,Calibri,11.04,regular,"(0, 0, 0)",#000000,"(517.9000244140625, 757.3199462890625, 525.9150390625, 768.3599853515625)"
2,Provost ,"Verdana Bold,Bold",11.04,bold,"(0, 0, 0)",#000000,"(112.58000183105469, 92.60481262207031, 163.63568115234375, 105.98529052734375)"
2,Prof. Indranil Dasgupta ,"Verdana Bold,Bold",9.96,bold,"(0, 0, 0)",#000000,"(112.58000183105469, 112.77017211914062, 248.37632751464844, 124.84169006347656)"
2,Department of Plant Molecular Biology ,"Verdana Bold,Bold",9,bold,"(0, 0, 0)",#000000,"(112.58000183105469, 124.77500915527344, 311.0679931640625, 135.68301391601562)"
2,"University of Delhi, South Campus ",Verdana,9,regular,"(0, 0, 0)",#000000,"(112.58000183105469, 135.6949920654297, 279.05303955078125, 146.60299682617188)"
2,New Delhi-110 021  ,Verdana,9,regular,"(0, 0, 0)",#000000,"(112.58000183105469, 146.73497009277344, 206.13800048828125, 157.64297485351562)"
2,"Tel. Office: 24116113, 24111955/Extn. 7186 ",Verdana,9,regular,"(0, 0, 0)",#000000,"(112.58000183105469, 158.61497497558594, 320.51800537109375, 169.52297973632812)"
2,Warden ,"Verdana Bold,Bold",11.04,bold,"(0, 0, 0)",#000000,"(112.58000183105469, 189.0847930908203, 164.35568237304688, 202.46527099609375)"
